idx;id;sci_name;com_name;class;order
0;3;Abeillia abeillei;Emerald-chinned Hummingbird;Aves;Apodiformes
1;5;Abroscopus albogularis;Rufous-faced Warbler;Aves;Passeriformes
2;6;Abroscopus schisticeps;Black-faced Warbler;Aves;Passeriformes
3;7;Abroscopus superciliaris;Yellow-bellied Warbler;Aves;Passeriformes
4;9;Aburria aburri;Wattled Guan;Aves;Galliformes
5;12;Acanthagenys rufogularis;Spiny-cheeked Honeyeater;Aves;Passeriformes
6;13;Acanthidops bairdi;Peg-billed Finch;Aves;Passeriformes
7;16;Acanthis flammea;Redpoll;Aves;Passeriformes
8;19;Acanthisitta chloris;Rifleman;Aves;Passeriformes
9;20;Acanthiza apicalis;Inland Thornbill;Aves;Passeriformes
10;21;Acanthiza chrysorrhoa;Yellow-rumped Thornbill;Aves;Passeriformes
11;22;Acanthiza cinerea;Grey Thornbill;Aves;Passeriformes
12;23;Acanthiza ewingii;Tasmanian Thornbill;Aves;Passeriformes
13;24;Acanthiza inornata;Western Thornbill;Aves;Passeriformes
14;25;Acanthiza iredalei;Slender-billed Thornbill;Aves;Passeriformes
15;26;Acanthiza katherina;Mountain Thornbill;Aves;Passeriformes
16;27;Acanthiza lineata;Striated Thornbill;Aves;Passeriformes
17;28;Acanthiza murina;New Guinea Thornbill;Aves;Passeriformes
18;29;Acanthiza nana;Yellow Thornbill;Aves;Passeriformes
19;30;Acanthiza pusilla;Brown Thornbill;Aves;Passeriformes
20;31;Acanthiza reguloides;Buff-rumped Thornbill;Aves;Passeriformes
21;32;Acanthiza robustirostris;Slaty-backed Thornbill;Aves;Passeriformes
22;33;Acanthiza uropygialis;Chestnut-rumped Thornbill;Aves;Passeriformes
23;40;Acanthorhynchus superciliosus;Western Spinebill;Aves;Passeriformes
24;41;Acanthorhynchus tenuirostris;Eastern Spinebill;Aves;Passeriformes
25;42;Acanthornis magna;Scrubtit;Aves;Passeriformes
26;45;Acanthoventris drewseni;Acanthoventris drewseni;Insecta;Hemiptera
27;49;Astur atricapillus;American Goshawk;Aves;Falconiformes
28;50;Astur gentilis;Eurasian Goshawk;Aves;Accipitriformes
29;51;Tachyspiza badia;Shikra;Aves;Accipitriformes
30;52;Astur bicolor;Bicolored Hawk;Aves;Accipitriformes
31;53;Tachyspiza brevipes;Levant Sparrowhawk;Aves;Accipitriformes
32;55;Astur chilensis;Chilean Hawk;Aves;Accipitriformes
33;57;Tachyspiza cirrocephala;Collared Sparrowhawk;Aves;Accipitriformes
34;60;Astur cooperii;Cooper's Hawk;Aves;Accipitriformes
35;64;Tachyspiza fasciata;Brown Goshawk;Aves;Accipitriformes
36;65;Tachyspiza francesiae;Frances's Sparrowhawk;Aves;Accipitriformes
37;67;Tachyspiza gularis;Japanese Sparrowhawk;Aves;Accipitriformes
38;68;Astur gundlachi;Gundlach's Hawk;Aves;Accipitriformes
39;69;Tachyspiza haplochroa;White-bellied Goshawk;Aves;Accipitriformes
40;70;Tachyspiza henicogramma;Moluccan Goshawk;Aves;Accipitriformes
41;71;Astur henstii;Henst's Goshawk;Aves;Accipitriformes
42;72;Tachyspiza hiogaster;Variable Goshawk;Aves;Accipitriformes
43;73;Accipiter madagascariensis;Madagascar Sparrowhawk;Aves;Accipitriformes
44;75;Astur melanoleucus;Black Sparrowhawk;Aves;Accipitriformes
45;77;Tachyspiza minulla;Little Sparrowhawk;Aves;Accipitriformes
46;79;Accipiter nisus;Eurasian Sparrowhawk;Aves;Accipitriformes
47;80;Tachyspiza novaehollandiae;Grey Goshawk;Aves;Accipitriformes
48;81;Accipiter ovampensis;Ovambo Sparrowhawk;Aves;Accipitriformes
49;83;Accipiter poliogaster;Grey-bellied Hawk;Aves;Accipitriformes
50;84;Tachyspiza rhodogaster;Vinous-breasted Sparrowhawk;Aves;Accipitriformes
51;85;Tachyspiza rufitorques;Fiji Goshawk;Aves;Accipitriformes
52;86;Accipiter rufiventris;Rufous-breasted Sparrowhawk;Aves;Accipitriformes
53;87;Tachyspiza soloensis;Chinese Sparrowhawk;Aves;Accipitriformes
54;88;Accipiter striatus;Sharp-shinned Hawk;Aves;Accipitriformes
55;89;Microspizias superciliosus;Tiny Hawk;Aves;Accipitriformes
56;91;Aerospiza tachiro;African Goshawk;Aves;Accipitriformes
57;93;Tachyspiza trinotata;Spot-tailed Sparrowhawk;Aves;Accipitriformes
58;94;Lophospiza trivirgata;Crested Goshawk;Aves;Accipitriformes
59;96;Tachyspiza virgata;Besra;Aves;Accipitriformes
60;104;Rhabdotorrhinus corrugatus;Wrinkled Hornbill;Aves;Bucerotiformes
61;106;Aceros nipalensis;Rufous-necked Hornbill;Aves;Bucerotiformes
62;107;Achaetops pycnopygius;Rockrunner;Aves;Passeriformes
63;110;Acheta domesticus;House cricket;Insecta;Orthoptera
64;119;Acridotheres burmannicus;Burmese Myna;Aves;Passeriformes
