idx;id;sci_name;com_name;class;order
0;5;Abroscopus albogularis;Rufous-faced Warbler;Aves;Passeriformes
1;6;Abroscopus schisticeps;Black-faced Warbler;Aves;Passeriformes
2;7;Abroscopus superciliaris;Yellow-bellied Warbler;Aves;Passeriformes
3;12;Acanthagenys rufogularis;Spiny-cheeked Honeyeater;Aves;Passeriformes
4;16;Acanthis flammea;Redpoll;Aves;Passeriformes
5;19;Acanthisitta chloris;Rifleman;Aves;Passeriformes
6;20;Acanthiza apicalis;Inland Thornbill;Aves;Passeriformes
7;21;Acanthiza chrysorrhoa;Yellow-rumped Thornbill;Aves;Passeriformes
8;27;Acanthiza lineata;Striated Thornbill;Aves;Passeriformes
9;29;Acanthiza nana;Yellow Thornbill;Aves;Passeriformes
10;30;Acanthiza pusilla;Brown Thornbill;Aves;Passeriformes
11;31;Acanthiza reguloides;Buff-rumped Thornbill;Aves;Passeriformes
12;32;Acanthiza robustirostris;Slaty-backed Thornbill;Aves;Passeriformes
13;33;Acanthiza uropygialis;Chestnut-rumped Thornbill;Aves;Passeriformes
14;41;Acanthorhynchus tenuirostris;Eastern Spinebill;Aves;Passeriformes
15;45;Acanthoventris drewseni;Acanthoventris drewseni;Insecta;Hemiptera
16;49;Astur atricapillus;American Goshawk;Aves;Falconiformes
17;50;Astur gentilis;Eurasian Goshawk;Aves;Accipitriformes
18;51;Tachyspiza badia;Shikra;Aves;Accipitriformes
19;52;Astur bicolor;Bicolored Hawk;Aves;Accipitriformes
20;53;Tachyspiza brevipes;Levant Sparrowhawk;Aves;Accipitriformes
21;57;Tachyspiza cirrocephala;Collared Sparrowhawk;Aves;Accipitriformes
22;60;Astur cooperii;Cooper's Hawk;Aves;Accipitriformes
23;64;Tachyspiza fasciata;Brown Goshawk;Aves;Accipitriformes
24;67;Tachyspiza gularis;Japanese Sparrowhawk;Aves;Accipitriformes
25;72;Tachyspiza hiogaster;Variable Goshawk;Aves;Accipitriformes
26;75;Astur melanoleucus;Black Sparrowhawk;Aves;Accipitriformes
27;77;Tachyspiza minulla;Little Sparrowhawk;Aves;Accipitriformes
28;79;Accipiter nisus;Eurasian Sparrowhawk;Aves;Accipitriformes
29;81;Accipiter ovampensis;Ovambo Sparrowhawk;Aves;Accipitriformes
30;86;Accipiter rufiventris;Rufous-breasted Sparrowhawk;Aves;Accipitriformes
31;87;Tachyspiza soloensis;Chinese Sparrowhawk;Aves;Accipitriformes
32;88;Accipiter striatus;Sharp-shinned Hawk;Aves;Accipitriformes
33;91;Aerospiza tachiro;African Goshawk;Aves;Accipitriformes
34;94;Lophospiza trivirgata;Crested Goshawk;Aves;Accipitriformes
35;96;Tachyspiza virgata;Besra;Aves;Accipitriformes
36;110;Acheta domesticus;House cricket;Insecta;Orthoptera
37;119;Acridotheres burmannicus;Burmese Myna;Aves;Passeriformes
38;120;Acridotheres cristatellus;Crested Myna;Aves;Passeriformes
39;121;Acridotheres fuscus;Jungle Myna;Aves;Passeriformes
40;122;Acridotheres ginginianus;Bank Myna;Aves;Passeriformes
41;123;Acridotheres grandis;Great Myna;Aves;Passeriformes
42;124;Acridotheres javanicus;Javan Myna;Aves;Passeriformes
43;125;Acridotheres leucocephalus;Vinous-breasted Myna;Aves;Passeriformes
44;127;Acridotheres tristis;Common Myna;Aves;Passeriformes
45;129;Acris blanchardi;Acris blanchardi;Amphibia;Anura
46;130;Acris crepitans;Northern Cricket Frog;Amphibia;Anura
47;138;Acrocephalus agricola;Paddyfield Warbler;Aves;Passeriformes
48;139;Acrocephalus arundinaceus;Great Reed Warbler;Aves;Passeriformes
49;141;Acrocephalus australis;Australian Reed Warbler;Aves;Passeriformes
50;143;Acrocephalus bistrigiceps;Black-browed Reed Warbler;Aves;Passeriformes
51;144;Acrocephalus brevipennis;Cape Verde Warbler;Aves;Passeriformes
52;146;Acrocephalus concinens;Blunt-winged Warbler;Aves;Passeriformes
53;147;Acrocephalus dumetorum;Blyth's Reed Warbler;Aves;Passeriformes
54;149;Acrocephalus gracilirostris;Lesser Swamp Warbler;Aves;Passeriformes
55;150;Acrocephalus griseldis;Basra Reed Warbler;Aves;Passeriformes
56;153;Acrocephalus melanopogon;Moustached Warbler;Aves;Passeriformes
57;156;Acrocephalus orientalis;Oriental Reed Warbler;Aves;Passeriformes
58;157;Acrocephalus orinus;Large-billed Reed Warbler;Aves;Passeriformes
59;158;Acrocephalus paludicola;Aquatic Warbler;Aves;Passeriformes
60;159;Acrocephalus palustris;Marsh Warbler;Aves;Passeriformes
61;164;Acrocephalus rufescens;Greater Swamp Warbler;Aves;Passeriformes
62;165;Acrocephalus schoenobaenus;Sedge Warbler;Aves;Passeriformes
63;166;Acrocephalus scirpaceus;Common Reed Warbler;Aves;Passeriformes
64;168;Acrocephalus stentoreus;Clamorous Reed Warbler;Aves;Passeriformes
65;171;Acrocephalus tangorum;Manchurian Reed Warbler;Aves;Passeriformes
66;183;Acryllium vulturinum;Vulturine Guineafowl;Aves;Galliformes
67;190;Actinodura cyanouroptera;Blue-winged Minla;Aves;Passeriformes
68;192;Actinodura egertoni;Rusty-fronted Barwing;Aves;Passeriformes
69;194;Actinodura nipalensis;Hoary-throated Barwing;Aves;Passeriformes
70;198;Actinodura strigula;Bar-throated Minla;Aves;Passeriformes
71;201;Actitis hypoleucos;Common Sandpiper;Aves;Charadriiformes
72;202;Actitis macularius;Spotted Sandpiper;Aves;Charadriiformes
73;203;Actophilornis africanus;African Jacana;Aves;Charadriiformes
74;215;Adenomera andreae;Adenomera andreae;Amphibia;Anura
75;220;Adenomera hylaedactyla;Adenomera hylaedactyla;Amphibia;Anura
76;227;Aechmophorus clarkii;Clark's Grebe;Aves;Podicipediformes
77;228;Aechmophorus occidentalis;Western Grebe;Aves;Podicipediformes
